age,job,default,housing,loan,marital,education,y
58,management,no,yes,no,married,tertiary,no
44,technician,no,yes,no,single,secondary,no
33,entrepreneur,no,yes,yes,married,secondary,no
47,blue-collar,no,yes,no,married,unknown,no
33,unknown,no,no,no,single,unknown,no
35,management,no,yes,no,married,tertiary,no
28,management,no,yes,yes,single,tertiary,no
42,entrepreneur,yes,yes,no,divorced,tertiary,no
58,retired,no,yes,no,married,primary,no
43,technician,no,yes,no,single,secondary,no
41,admin.,no,yes,no,divorced,secondary,no
29,admin.,no,yes,no,single,secondary,no
53,technician,no,yes,no,married,secondary,no
58,technician,no,yes,no,married,unknown,no
57,services,no,yes,no,married,secondary,no
51,retired,no,yes,no,married,primary,no
45,admin.,no,yes,no,single,unknown,no
57,blue-collar,no,yes,no,married,primary,no
60,retired,no,yes,no,married,primary,no
33,services,no,yes,no,married,secondary,no
28,blue-collar,no,yes,yes,married,secondary,no
56,management,no,yes,no,married,tertiary,no
32,blue-collar,no,yes,yes,single,primary,no
25,services,no,yes,no,married,secondary,no
40,retired,no,yes,yes,married,primary,no
44,admin.,no,yes,no,married,secondary,no
39,management,no,yes,no,single,tertiary,no
52,entrepreneur,no,yes,yes,married,secondary,no
46,management,no,yes,no,single,secondary,no
36,technician,no,yes,yes,single,secondary,no
57,technician,no,no,yes,married,secondary,no
49,management,no,yes,no,married,tertiary,no
60,admin.,no,yes,yes,married,secondary,no
59,blue-collar,no,yes,no,married,secondary,no
51,management,no,yes,no,married,tertiary,no
57,technician,no,yes,no,divorced,secondary,no
25,blue-collar,no,yes,no,married,secondary,no
53,technician,no,no,no,married,secondary,no
36,admin.,no,yes,no,divorced,secondary,no
37,admin.,no,yes,no,single,secondary,no
44,services,no,yes,no,divorced,secondary,no
50,management,no,yes,no,married,secondary,no
60,blue-collar,no,yes,no,married,unknown,no
54,retired,no,yes,no,married,secondary,no
58,retired,no,yes,no,married,unknown,no
36,admin.,no,yes,no,single,primary,no
58,self-employed,no,yes,no,married,tertiary,no
44,technician,no,yes,no,married,secondary,no
55,technician,no,no,no,divorced,secondary,no
29,management,no,yes,no,single,tertiary,no
54,blue-collar,no,yes,no,married,secondary,no
48,management,no,yes,no,divorced,tertiary,no
32,management,no,yes,no,married,tertiary,no
42,admin.,no,yes,no,single,secondary,no
24,technician,no,yes,yes,single,secondary,no
38,entrepreneur,no,no,yes,single,tertiary,no
38,management,no,yes,no,single,tertiary,no
47,blue-collar,no,yes,no,married,unknown,no
40,blue-collar,no,yes,no,single,unknown,no
46,services,no,yes,no,married,primary,no
32,admin.,no,yes,no,married,tertiary,no
53,technician,no,yes,no,divorced,secondary,no
